,代码,总股本,最新价,总市值,排名
3619,300478,126673000.0,8.62,1091921260.0,1.0
2075,600768,133747200.0,8.62,1152900864.0,2.0
428,001211,72000000.0,16.46,1185120000.0,3.0
2903,603709,125928400.0,9.42,1186245528.0,4.0
3979,300854,101088500.0,12.46,1259562710.0,5.0
1817,600455,62458000.0,20.3,1267897400.0,6.0
1844,600493,272000000.0,4.75,1292000000.0,7.0
691,002188,292538575.0,4.5,1316423587.5,8.0
1585,600137,97217588.0,13.63,1325075724.44,9.0
4113,300995,84160000.0,15.78,1328044800.0,10.0
4023,300899,63783466.0,20.98,1338177116.68,11.0
191,000638,311386551.0,4.32,1345189900.3200002,12.0
2492,603022,200000000.0,6.94,1388000000.0,13.0
492,001336,80373500.0,17.39,1397695165.0,14.0
4406,301336,40000000.0,35.36,1414400000.0,15.0
793,002295,250616000.0,5.74,1438535840.0,16.0
4128,301010,108000000.0,13.34,1440720000.0,17.0
4074,300955,100800000.0,14.43,1454544000.0,18.0
3472,300321,88800000.0,16.5,1465200000.0,19.0
2597,603159,140000000.0,10.59,1482600000.0,20.0
1304,002853,186542748.0,7.98,1488611129.04,21.0
4208,301098,177585473.0,8.4,1491717973.2,22.0
1283,002830,133340000.0,11.19,1492074600.0,23.0
4144,301027,147861140.0,10.13,1497833348.2,24.0
4068,300948,140028865.0,10.75,1505310298.75,25.0
4010,300886,74555000.0,20.23,1508247650.0,26.0
2173,600883,236088000.0,6.41,1513324080.0,27.0
4053,300931,240146000.0,6.31,1515321260.0,28.0
1455,003017,84000000.0,18.07,1517880000.0,29.0
3850,300717,102775000.0,14.89,1530319750.0,30.0
